Mon Sep 11 17:12:27 EDT 2023: Initial number of files in the output directory:        0
Mon Sep 11 17:12:27 EDT 2023: Cleaning up the codebase directory...
Mon Sep 11 17:12:27 EDT 2023: Generating project tree...
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/.DS_Store Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/comment_replies_manies.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/tags.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/pages.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/comments.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/posts.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/comment_replies_manies.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/tags.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/skills.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/postcategories.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/post_categories_manies.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/interests.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/pages.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/interests.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/skills.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/posts.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/postcategories.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/post_categories_manies.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/comments.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/sessions.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/sessions.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/user_bookmarks_manies.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/users.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/subskills.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/subskills.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/user_bookmarks_manies.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib_dev/users.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/comment_replies_manies.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/tags.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/pages.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/comments.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/posts.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:30 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/comment_replies_manies.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/tags.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/skills.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/postcategories.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/post_categories_manies.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/interests.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/pages.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/interests.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/skills.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/posts.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/postcategories.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/post_categories_manies.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/comments.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/sessions.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/sessions.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/user_bookmarks_manies.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/users.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/subskills.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/subskills.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/user_bookmarks_manies.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/cms-naqib/users.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/admin/system.version.bson Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/dump/admin/system.version.metadata.json Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/server.js Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/Dockerfile Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/index.js Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/initial-data.js Encoder:./codebase/content_1.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/.devcontainer/devcontainer_temp.json Encoder:./codebase/content_2.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/.devcontainer/Dockerfile Encoder:./codebase/content_2.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/.devcontainer/docker-compose.yml Encoder:./codebase/content_2.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/.devcontainer/devcontainer.json Encoder:./codebase/content_2.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/README.md Encoder:./codebase/content_2.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/schema/custom-mutations.ts Encoder:./codebase/content_2.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/schema/page.js Encoder:./codebase/content_2.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/schema/user.js Encoder:./codebase/content_3.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/schema/post.js Encoder:./codebase/content_3.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/schema/comment.ts Encoder:./codebase/content_3.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/schema/tags.ts Encoder:./codebase/content_3.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/access-control.js Encoder:./codebase/content_4.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/yarn.lock Encoder:./codebase/content_4.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/.dockerignore Encoder:./codebase/content_4.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/.gitignore Encoder:./codebase/content_5.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/package-lock.json Encoder:./codebase/content_5.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/package.json Encoder:./codebase/content_5.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/cert/localhost.crt Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/cert/localhost.key Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/.nvmrc Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/scripts/dev-setup.sh Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/backend/config.ts Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/.DS_Store Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/home/0M1A3350.jpg Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/home/header_bg.jpg Encoder:./codebase/content_6.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/home/header_aj.png Encoder:./codebase/content_7.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/home/header_2.jpg Encoder:./codebase/content_8.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/home/header.jpg Encoder:./codebase/content_9.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/home/graduation.jpg Encoder:./codebase/content_10.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/home/0M1A3607.jpg Encoder:./codebase/content_11.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/error.gif Encoder:./codebase/content_12.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/.DS_Store Encoder:./codebase/content_13.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/dot.png Encoder:./codebase/content_14.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/headshots/0M1A3350.png Encoder:./codebase/content_14.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/headshots/0M1A3350_0.5x.png Encoder:./codebase/content_14.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/headshots/0M1A3748.jpg Encoder:./codebase/content_15.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/headshots/0M1A3350_0.75x.png Encoder:./codebase/content_16.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/team-image/team-back.jpg Encoder:./codebase/content_17.md
Mon Sep 11 17:12:31 EDT 2023: Processing file: ./apps/client/images/logo_full.png Encoder:./codebase/content_18.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/coming-soon-banner-min.jpg Encoder:./codebase/content_18.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/dot-shape1.png Encoder:./codebase/content_18.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/8.png Encoder:./codebase/content_19.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/9.png Encoder:./codebase/content_20.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/14.png Encoder:./codebase/content_20.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/15.png Encoder:./codebase/content_20.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/16.png Encoder:./codebase/content_20.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/12.png Encoder:./codebase/content_20.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/13.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/circle1.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/circle3.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/11.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/10.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/circle2.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/21.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/20.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/22.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/23.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/27.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/26.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/18.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/24.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/25.png Encoder:./codebase/content_21.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/19.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/4.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/5.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/7.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/6.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/2.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/3.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/shapes/1.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/circle-shape.png Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/main-bg-1.jpg Encoder:./codebase/content_22.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/favicon.png Encoder:./codebase/content_22.md
